Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)|Latitud|Longitud|Coordinates|Distance
  Tokio 65, A1, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|30000|2|2.0|107|19.4236938|-99.1721906|19.4236938,-99.1721906|4.297167038429124 km
  Azalea 152, Lomas Quebradas, La Magdalena Contreras, Distrito Federal (cdmx)|13500|2|2.0|140|19.314178100000003|-99.2460849|19.314178100000003,-99.2460849|15.946267833510046 km
  Lago Iseo 532, Be Grand Alto Polanc, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|35000|2|2.0|109|19.4410251|-99.18185799999999|19.4410251,-99.181858|6.071148777364412 km
  Congreso 113, La Joya, Tlalpan, Distrito Federal (cdmx)|11350|2|1.0|102|19.2803318|-99.1682004|19.2803318,-99.1682004|14.900740904606673 km
  Rómulo O'farril 520, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|14500|2|2.0|76|19.3377623|-99.2145908|19.3377623,-99.2145908|11.744255007244492 km
  Av. Emiliano Zapata 409, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|14800|2|2.0|80|19.3690154|-99.1611432|19.3690154,-99.1611432|5.463500710111585 km
  1a Privada De La 5 Cerrada De Av Mexico 5, Cuajimalpa De Morelos, Distrito Federal (cdmx)|12000|1|2.0|60|19.3645334|-99.2999321|19.3645334,-99.2999321|18.21235629991537 km
  Jorge Bernard Shaw 10 10, 202, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|32000|3|2.0|185|19.431912|-99.2043783|19.431912,-99.20437829999999|7.79256223101068 km
  Jorge Bernard Shaw 10 10, 602, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|34000|3|2.0|185|19.431912|-99.2043783|19.431912,-99.20437829999999|7.79256223101068 km
  Hegel 210, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|40700|3|3.0|149|19.4351432|-99.1878935|19.4351432,-99.1878935|6.306087467407125 km
  Amplísimo, Mide 460m² En Lomas De Chapultepec, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|873225|3|3.0|460|19.4249374|-99.2134442|19.424937399999997,-99.2134442|8.531877812674082 km
  Avenida Santa Fe 482, Cuajimalpa De Morelos, 05349, Ciudad De Mexico, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|24000|1|1.0|85|19.3594534|-99.2699073|19.3594534,-99.2699073|15.410889618677524 km
  Joaquin Garcia Izcabaleta 55, San Rafael, Cuauhtemoc, Ciudad De Mexico, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16000|3|2.0|120|19.4413879|-99.16255629999999|19.4413879,-99.1625563|4.547471825908578 km
  Avenida Horacio1537, Polanco Iv Sección, Miguel Hidalgo, Distrito Federal (cdmx)|1261325|3|4.0|193|19.4355887|-99.2064672|19.4355887,-99.2064672|8.129919570502757 km
  Avenida De Las Torres 805, Torres Del Potrero, Alvaro Obregón Ciudad De México, Álvaro Obregón, Distrito Federal (cdmx)|17500|2|2.0|78|19.3342999|-99.2399338|19.334299899999998,-99.2399338|14.024579986843845 km
  Francisco Petrarca 139, Colonia Polanco Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|97025|2|2.0|167|19.436182100000003|-99.1857411|19.436182100000003,-99.1857411|6.153844972964273 km
  Joaquin Garcia Izcabalceta 55, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16000|3||120|19.4413879|-99.16255629999999|19.4413879,-99.1625563|4.547471825908578 km
  Calle Division Del Norte 293, Lomas De Memetla, Cuajimalpa, Ciudad De Mexico, Lomas De Memetla, Cuajimalpa De Morelos|16000|2|2.0|122|19.3586393|-99.2839664|19.3586393,-99.28396640000001|16.82301294162835 km
  Bosque De Tabachines 327, Colonia Bosques De Las Lomas, Bosques De Las Lomas, Cuajimalpa De Morelos|155240|3|3.0|650|19.3801662|-99.2606551|19.380166199999998,-99.2606551|13.774529892706653 km
  Palacio Escorial 20, Lomas De Reforma, Miguel Hidalgo, Distrito Federal (cdmx)|33000|2||70|19.4017163|-99.2348249|19.4017163,-99.2348249|10.682920703004244 km
  Avenida Jesus Del Monte 41, Jesús Del Monte, Cuajimalpa De Morelos|95312|2||184|19.3754716|-99.2945852|19.3754716,-99.2945852|17.3609128482029 km
  Encarnacion Ortiz 1860, Azcapotzalco, Distrito Federal (cdmx)|14000|2|2.0|69|19.4714503|-99.1613575|19.4714503,-99.1613575|7.3135970587742465 km
  Tabasco 267, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|47000|2|3.0|113|19.4180712|-99.1653339|19.4180712,-99.16533390000001|3.4297274749862345 km
  Hegel 15, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|35000|3|2.0|230|19.4372428|-99.1881764|19.4372428,-99.1881764|6.435012777976676 km
  Moliere 118, Distrito Federal (cdmx)|75000|2|3.0|120|19.4335323|-99.2018276|19.4335323,-99.2018276|7.5946737816339045 km
  Cumbres De Maltrata 423, Narvarte, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|70|19.3878982|-99.14802960000002|19.3878982,-99.14802960000002|2.9614436391284236 km
  Avenida Santa Fe 498, Lomas De Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|25000|1|1.0|82|19.3581997|-99.2717753|19.3581997,-99.2717753|15.644652000159176 km
  Calzada San Simon No. 82, San Simon Ticumac, Benito Juárez, Distrito Federal (cdmx)|10500|2|1.0|51|19.3746796|-99.1445991|19.3746796,-99.1445991|4.16986175253309 km
  Monte Elbruz 164, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|194050|3|3.0|400|19.4294695|-99.2033552|19.4294695,-99.2033552|7.612599516316507 km
  Gabriel Mancera 1157, Del Valle Sur, Benito Juárez, Distrito Federal (cdmx)|19500|2|2.0|92|19.3783354|-99.1662886|19.378335399999997,-99.16628859999999|4.977647168909532 km
  Carrtera Mexico Toluca 5860, Contadero, Cuajimalpa De Morelos|16000|1|2.0|57|19.3641262|-99.2787997|19.364126199999998,-99.2787997|16.108919694379136 km
  Cofre De Perote 256, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|33500|2|2.0|112|19.4265398|-99.22392579999999|19.4265398,-99.2239258|9.646595739263145 km
  Avenida General Ignacio Zaragoza Al 500, Venustiano Carranza, Distrito Federal (cdmx)|8500|3|1.0|70|19.4211744|-99.1226981|19.421174399999998,-99.1226981|1.6145157525825793 km
  Lago Zurich 219, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|36500|2|3.0|118|19.442115|-99.20408929999999|19.442115,-99.2040893|8.173626640555126 km
  Calzada De Las Brujas 304, Villa Coapa, Tlalpan, Distrito Federal (cdmx)|10000|3|1.0|80|19.2974339|-99.1222877|19.297433899999998,-99.1222877|12.612473476341851 km
  Calle 28 De Diciembre Col. Emiliano Zapata, Coyoacàn, Coyoacán, Distrito Federal (cdmx)|13500|2|2.0|80|19.3264826|-99.1371429|19.3264826,-99.1371429|9.348559437167893 km
  Santa. Fe, Álvaro Obregón,penthouse 406, Álvaro Obregón, Distrito Federal (cdmx)|42000|2|3.0|270|19.386392800000007|-99.2255625|19.386392800000003,-99.2255625|10.035002363836337 km
  Ferrocarril Hidalgo 1404, Villa Gustavo A. Madero, Gustavo A. Madero|8000|2|1.0|60|19.4807018|-99.10792990000002|19.480701800000002,-99.10792990000002|8.186135575265414 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4500|2|1.0|61|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9000|2|1.0|65|19.430267800000006|-99.1373136|19.430267800000003,-99.1373136|2.183255959808334 km
