Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
"Departamento en Renta Tokio #65, A1
, Juárez, Cuauhtémoc, Distrito Federal (cdmx)"|30,000 MX$|2|2|107m2
Departamento en Renta Azalea 152, Lomas Quebradas, La Magdalena Contreras, Distrito Federal (cdmx)|13,500 MX$|2|2|140m2
"Departamento en Renta Lago Iseo #532, Be Grand Alto Polanc
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|35,000 MX$|2|2|109m2
Departamento en Renta Congreso 113, La Joya, Tlalpan, Distrito Federal (cdmx)|11,350 MX$|2|1|102m2
Departamento en Renta Rómulo O'farril 520, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|14,500 MX$|2|2|76m2
"Departamento en Renta Av. Emiliano Zapata #409
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|14,800 MX$|2|2|80m2
Departamento en Renta 1a Privada De La 5 Cerrada De Av Mexico 5, Cuajimalpa De Morelos, Distrito Federal (cdmx)|12,000 MX$|1|2|60m2
"Departamento en Renta Jorge Bernard Shaw 10 #10, 202
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|32,000 MX$|3|2|185m2
"Departamento en Renta Jorge Bernard Shaw 10 #10, 602
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|34,000 MX$|3|2|185m2
"Departamento en Renta Hegel #210
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|40,700 MX$|3|3|149m2
"Departamento en Renta Amplísimo, Mide 460m² En Lomas De Chapultepec
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|87,322.5 MX$|3|3|460m2
Departamento en Renta Avenida Santa Fe 482, Cuajimalpa De Morelos, 05349, Ciudad De Mexico, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|24,000 MX$|1|1|85m2
Departamento en Renta Joaquin Garcia Izcabaleta 55, San Rafael, Cuauhtemoc, Ciudad De Mexico, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16,000 MX$|3|2|120m2
Departamento en Renta Avenida Horacio1537, Polanco Iv Sección, Miguel Hidalgo, Distrito Federal (cdmx)|126,132.5 MX$|3|4|193m2
Departamento en Renta Avenida De Las Torres 805, Torres Del Potrero, Alvaro Obregón Ciudad De México, Álvaro Obregón, Distrito Federal (cdmx)|17,500 MX$|2|2|78m2
Departamento en Renta Francisco Petrarca 139, Colonia Polanco Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|Desde				97,025 MX$|2|2|167m2
Departamento en Renta Joaquin Garcia Izcabalceta 55, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16,000 MX$|3||120m2
Departamento en Renta Calle Division Del Norte 293, Lomas De Memetla, Cuajimalpa, Ciudad De Mexico, Lomas De Memetla, Cuajimalpa De Morelos|16,000 MX$|2|2|122m2
Departamento en Renta Bosque De Tabachines 327, Colonia Bosques De Las Lomas, Bosques De Las Lomas, Cuajimalpa De Morelos|155,240 MX$|3|3|650m2
Departamento en Renta Palacio Escorial 20, Lomas De Reforma, Miguel Hidalgo, Distrito Federal (cdmx)|33,000 MX$|2||70m2
Departamento en Renta Avenida Jesus Del Monte 41, Jesús Del Monte, Cuajimalpa De Morelos|95,312 MX$|2||184m2
Departamento en Renta Encarnacion Ortiz 1860, Azcapotzalco, Distrito Federal (cdmx)|14,000 MX$|2|2|69m2
"Departamento en Renta Tabasco #267
, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)"|47,000 MX$|2|3|113m2
"Departamento en Renta Hegel #15
, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)"|35,000 MX$|3|2|230m2
Departamento en Renta Moliere 118, Distrito Federal (cdmx)|75,000 MX$|2|3|120m2
"Departamento en Renta Cumbres De Maltrata #423
, Narvarte, Benito Juárez, Distrito Federal (cdmx)"|19,000 MX$|2|2|70m2
"Departamento en Renta Avenida Santa Fe #498
, Lomas De Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)"|25,000 MX$|1|1|82m2
"Departamento en Renta Calzada San Simon No. 82
, San Simon Ticumac, Benito Juárez, Distrito Federal (cdmx)"|10,500 MX$|2|1|51m2
"Departamento en Renta Monte Elbruz #164
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|194,050 MX$|3|3|400m2
"Departamento en Renta Gabriel Mancera #1157
, Del Valle Sur, Benito Juárez, Distrito Federal (cdmx)"|19,500 MX$|2|2|92m2
"Departamento en Renta Carrtera Mexico Toluca #5860
, Contadero, Cuajimalpa De Morelos"|16,000 MX$|1|2|57m2
"Departamento en Renta Cofre De Perote #256
, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)"|33,500 MX$|2|2|112m2
"Departamento en Renta Avenida General Ignacio Zaragoza Al 500
, Venustiano Carranza, Distrito Federal (cdmx)"|8,500 MX$|3|1|70m2
"Departamento en Renta Lago Zurich #219
, Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|36,500 MX$|2|3|118m2
"Departamento en Renta Calzada De Las Brujas #304
, Villa Coapa, Tlalpan, Distrito Federal (cdmx)"|10,000 MX$|3|1|80m2
"Departamento en Renta Calle 28 De Diciembre Col. Emiliano Zapata, Coyoacàn
, Coyoacán, Distrito Federal (cdmx)"|13,500 MX$|2|2|80m2
"Departamento en Renta Santa. Fe, Álvaro Obregón,penthouse 406
, Álvaro Obregón, Distrito Federal (cdmx)"|42,000 MX$|2|3|270m2
Departamento en Renta Ferrocarril Hidalgo 1404, Villa Gustavo A. Madero, Gustavo A. Madero|8,000 MX$|2|1|60m2
Departamento en Renta Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14,000 MX$|2|2|60m2
Departamento en Renta Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8,500 MX$|2|1|72m2
Departamento en Renta Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4,500 MX$|2|1|61m2
"Departamento en Renta Avenida 14 #25
, Venustiano Carranza, Distrito Federal (cdmx)"|15,500 MX$|3|2|127m2
Departamento en Renta Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|9,000 MX$|2|1|65m2
Departamento en Renta Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|7,000 MX$|1|1|71m2
Departamento en Renta Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|4,500 MX$|2|1|61m2
"Departamento en Renta Heriberto Frias #544
, Narvarte, Benito Juárez, Distrito Federal (cdmx)"|6,000 MX$|1|1|20m2
"Departamento en Renta Manuel Toissaint #60
, Coyoacán, Distrito Federal (cdmx)"|5,300 MX$|2|1|40m2
"Departamento en Renta Juan Alvarez #54
, La Magdalena Contreras, Distrito Federal (cdmx)"|7,500 MX$|1|1|40m2
Departamento en Renta Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|6,500 MX$|2|1|59m2
Departamento en Renta Cerrada Ferrocarril De Cuernavaca 779, Ampliación Granada, Ciudad De México|45,000 MX$|2|3|113m2
Departamento en Renta Privada Paseo De Los Tamarindos No.7, Bosques De Las Lomas, Cuajimalpa De Morelos|42,500 MX$|3|5|290m2
Departamento en Renta Revolución 1336, Guadalupe Inn, Álvaro Obregón, Distrito Federal (cdmx)|22,000 MX$|2|2|102m2
"Departamento en Renta Juan Salvador Agraz #37
, Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)"|29,900 MX$|2|2|125m2
"Departamento en Renta Residencial San Angel #000
, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)"|13,700 MX$|1|1|60m2
Departamento en Renta Miguel De Cervantes Saavedra 303, Irrigación, Ciudad De México|47,000 MX$|2|2|120m2
Departamento en Renta Algeciras 38 -301, Insurgentes Mixcoac, Benito Juárez, Distrito Federal (cdmx)|22,500 MX$|3|3|150m2
Departamento en Renta Calzada Desierto De Los Leones 4373, Tetelpan, Álvaro Obregón, Distrito Federal (cdmx)|23,000 MX$|2|2|115m2
"Departamento en Renta Versalles #33
, Juárez, Cuauhtémoc, Distrito Federal (cdmx)"|22,000 MX$|2|2|110m2
Departamento en Renta Calzada De Tlalpan 1434, Portales Oriente, Benito Juárez, Distrito Federal (cdmx)|18,000 MX$|2|2|90m2
"Departamento en Renta Popocatépetl #000
, Xoco, Benito Juárez, Distrito Federal (cdmx)"|22,000 MX$|2|2|83m2
"Departamento en Renta Bucareli #128
, Zona Centro, Cuauhtémoc, Distrito Federal (cdmx)"|38,810 MX$|3|2|310m2
"Departamento en Renta Ejercito Nacional #453, 200
, Ampliación Granada, Miguel Hidalgo, Distrito Federal (cdmx)"|35,000 MX$|3|3|115m2
"Departamento en Renta Luz Saviñon 206
, Del Valle, Benito Juárez, Distrito Federal (cdmx)"|25,000 MX$|2|2|110m2
Departamento en Renta Calzada México Tacuba 1501, Argentina Poniente, Miguel Hidalgo, Distrito Federal (cdmx)|9,500 MX$|2|1|58m2
Departamento en Renta Eugenia 606, Del Valle Centro, Benito Juárez, Distrito Federal (cdmx)|24,500 MX$|2|2|68m2
"Departamento en Renta Retorno Arrecife #15
, Las Águilas, Álvaro Obregón, Distrito Federal (cdmx)"|9,500 MX$|2|1|75m2
Departamento en Renta Paseo De La Reforma 439, Cuauhtémoc, Cuauhtémoc, Distrito Federal (cdmx)|Desde				65,000 MX$|1|2|120m2
"Departamento en Renta Laguna De Mayrán #375
, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)"|19,000 MX$|2|2|82m2
"Departamento en Renta Adolfo Lopez Mateos #5146
, Pedregal De Carrasco, Coyoacán, Distrito Federal (cdmx)"|23,000 MX$|2|2|104m2
"Departamento en Renta General Emiliano Zapata #360
, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)"|16,000 MX$|2|2|78m2
Departamento en Renta Toltecas 166, Carola, Álvaro Obregón, Distrito Federal (cdmx)|11,000 MX$|3|2|70m2
Departamento en Renta Av Centenario 1762, Ciudad De México, Distrito Federal (cdmx)|Desde				16,500 MX$|1|1|50m2
"Departamento en Renta Romulo Oarril #520
, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)"|16,500 MX$|2|2|77m2
"Departamento en Renta Iglesia #270
, Tizapan, Álvaro Obregón, Distrito Federal (cdmx)"|29,000 MX$|3|2|130m2
