Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)
  Tokio 65, A1, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|30000|2|2.0|107
  Azalea 152, Lomas Quebradas, La Magdalena Contreras, Distrito Federal (cdmx)|13500|2|2.0|140
  Lago Iseo 532, Be Grand Alto Polanc, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|35000|2|2.0|109
  Congreso 113, La Joya, Tlalpan, Distrito Federal (cdmx)|11350|2|1.0|102
  Rómulo O'farril 520, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|14500|2|2.0|76
  Av. Emiliano Zapata 409, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|14800|2|2.0|80
  1a Privada De La 5 Cerrada De Av Mexico 5, Cuajimalpa De Morelos, Distrito Federal (cdmx)|12000|1|2.0|60
  Jorge Bernard Shaw 10 10, 202, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|32000|3|2.0|185
  Jorge Bernard Shaw 10 10, 602, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|34000|3|2.0|185
  Hegel 210, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|40700|3|3.0|149
  Amplísimo, Mide 460m² En Lomas De Chapultepec, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|873225|3|3.0|460
  Avenida Santa Fe 482, Cuajimalpa De Morelos, 05349, Ciudad De Mexico, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|24000|1|1.0|85
  Joaquin Garcia Izcabaleta 55, San Rafael, Cuauhtemoc, Ciudad De Mexico, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16000|3|2.0|120
  Avenida Horacio1537, Polanco Iv Sección, Miguel Hidalgo, Distrito Federal (cdmx)|1261325|3|4.0|193
  Avenida De Las Torres 805, Torres Del Potrero, Alvaro Obregón Ciudad De México, Álvaro Obregón, Distrito Federal (cdmx)|17500|2|2.0|78
  Francisco Petrarca 139, Colonia Polanco Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|97025|2|2.0|167
  Joaquin Garcia Izcabalceta 55, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16000|3||120
  Calle Division Del Norte 293, Lomas De Memetla, Cuajimalpa, Ciudad De Mexico, Lomas De Memetla, Cuajimalpa De Morelos|16000|2|2.0|122
  Bosque De Tabachines 327, Colonia Bosques De Las Lomas, Bosques De Las Lomas, Cuajimalpa De Morelos|155240|3|3.0|650
  Palacio Escorial 20, Lomas De Reforma, Miguel Hidalgo, Distrito Federal (cdmx)|33000|2||70
  Avenida Jesus Del Monte 41, Jesús Del Monte, Cuajimalpa De Morelos|95312|2||184
  Encarnacion Ortiz 1860, Azcapotzalco, Distrito Federal (cdmx)|14000|2|2.0|69
  Tabasco 267, Roma Norte, Cuauhtémoc, Distrito Federal (cdmx)|47000|2|3.0|113
  Hegel 15, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|35000|3|2.0|230
  Moliere 118, Distrito Federal (cdmx)|75000|2|3.0|120
  Cumbres De Maltrata 423, Narvarte, Benito Juárez, Distrito Federal (cdmx)|19000|2|2.0|70
  Avenida Santa Fe 498, Lomas De Santa Fe, Álvaro Obregón, Distrito Federal (cdmx)|25000|1|1.0|82
  Calzada San Simon No. 82, San Simon Ticumac, Benito Juárez, Distrito Federal (cdmx)|10500|2|1.0|51
  Monte Elbruz 164, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|194050|3|3.0|400
  Gabriel Mancera 1157, Del Valle Sur, Benito Juárez, Distrito Federal (cdmx)|19500|2|2.0|92
  Carrtera Mexico Toluca 5860, Contadero, Cuajimalpa De Morelos|16000|1|2.0|57
  Cofre De Perote 256, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|33500|2|2.0|112
  Avenida General Ignacio Zaragoza Al 500, Venustiano Carranza, Distrito Federal (cdmx)|8500|3|1.0|70
  Lago Zurich 219, Granada, Miguel Hidalgo, Distrito Federal (cdmx)|36500|2|3.0|118
  Calzada De Las Brujas 304, Villa Coapa, Tlalpan, Distrito Federal (cdmx)|10000|3|1.0|80
  Calle 28 De Diciembre Col. Emiliano Zapata, Coyoacàn, Coyoacán, Distrito Federal (cdmx)|13500|2|2.0|80
  Santa. Fe, Álvaro Obregón,penthouse 406, Álvaro Obregón, Distrito Federal (cdmx)|42000|2|3.0|270
  Ferrocarril Hidalgo 1404, Villa Gustavo A. Madero, Gustavo A. Madero|8000|2|1.0|60
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|14000|2|2.0|60
  Centro (área 1), Cuauhtémoc, Distrito Federal (cdmx)|8500|2|1.0|72
