Address|Price(MX$)|Bedrooms|Bathrooms|Size(m2)|Latitud|Longitud
  Tokio 65, A1, Juárez, Cuauhtémoc, Distrito Federal (cdmx)|30000|2|2.0|107|19.4236938|-99.1721906
  Azalea 152, Lomas Quebradas, La Magdalena Contreras, Distrito Federal (cdmx)|13500|2|2.0|140|19.314178100000003|-99.2460849
  Lago Iseo 532, Be Grand Alto Polanc, Colonia Anahuac I Sección, Miguel Hidalgo, Distrito Federal (cdmx)|35000|2|2.0|109|19.4410251|-99.181858
  Congreso 113, La Joya, Tlalpan, Distrito Federal (cdmx)|11350|2|1.0|102|19.2803318|-99.1682004
  Rómulo O'farril 520, Colonia Olivar De Los Padres, Álvaro Obregón, Distrito Federal (cdmx)|14500|2|2.0|76|19.3377623|-99.2145908
  Av. Emiliano Zapata 409, Santa Cruz Atoyac, Benito Juárez, Distrito Federal (cdmx)|14800|2|2.0|80|19.3690154|-99.1611432
  1a Privada De La 5 Cerrada De Av Mexico 5, Cuajimalpa De Morelos, Distrito Federal (cdmx)|12000|1|2.0|60|19.3645334|-99.2999321
  Jorge Bernard Shaw 10 10, 202, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|32000|3|2.0|185|19.431912|-99.20437829999999
  Jorge Bernard Shaw 10 10, 602, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|34000|3|2.0|185|19.431912|-99.20437829999999
  Hegel 210, Polanco, Miguel Hidalgo, Distrito Federal (cdmx)|40700|3|3.0|149|19.4351432|-99.1878935
  Amplísimo, Mide 460m² En Lomas De Chapultepec, Lomas De Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|873225|3|3.0|460|19.424937399999997|-99.2134442
  Avenida Santa Fe 482, Cuajimalpa De Morelos, 05349, Ciudad De Mexico, Santa Fe Cuajimalpa, Cuajimalpa De Morelos|24000|1|1.0|85|19.3594534|-99.2699073
  Joaquin Garcia Izcabaleta 55, San Rafael, Cuauhtemoc, Ciudad De Mexico, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16000|3|2.0|120|19.4413879|-99.1625563
  Avenida Horacio1537, Polanco Iv Sección, Miguel Hidalgo, Distrito Federal (cdmx)|1261325|3|4.0|193|19.4355887|-99.2064672
  Avenida De Las Torres 805, Torres Del Potrero, Alvaro Obregón Ciudad De México, Álvaro Obregón, Distrito Federal (cdmx)|17500|2|2.0|78|19.334299899999998|-99.2399338
  Francisco Petrarca 139, Colonia Polanco Chapultepec, Miguel Hidalgo, Distrito Federal (cdmx)|97025|2|2.0|167|19.436182100000003|-99.1857411
  Joaquin Garcia Izcabalceta 55, San Rafael, Cuauhtémoc, Distrito Federal (cdmx)|16000|3||120|19.4413879|-99.1625563
